Date;Open;High;Low;Close;Adj Close;Volume
25/2/2022;386,61;391,29;375,58;390,80;390,80;4.841.600
28/2/2022;387,33;397,75;382,13;394,52;394,52;5.035.000
1/3/2022;391,60;395,00;383,71;386,24;386,24;3.290.400
2/3/2022;388,93;389,22;375,21;380,03;380,03;5.356.800
3/3/2022;386,00;386,12;364,65;368,07;368,07;6.076.800
4/3/2022;368,00;374,82;357,17;361,73;361,73;5.325.500
7/3/2022;360,41;362,00;350,20;350,26;350,26;5.708.400
8/3/2022;349,80;358,86;340,67;341,76;341,76;6.428.700
9/3/2022;357,69;364,14;350,51;358,79;358,79;6.520.200
10/3/2022;356,20;367,02;353,30;356,77;356,77;4.807.800
11/3/2022;361,19;363,36;340,00;340,32;340,32;4.819.900
14/3/2022;338,72;341,32;329,82;331,01;331,01;5.907.800
15/3/2022;335,10;345,36;332,36;343,75;343,75;5.460.600
16/3/2022;348,20;359,99;343,06;357,53;357,53;6.982.500
17/3/2022;359,70;373,31;354,88;371,40;371,40;5.818.300
18/3/2022;372,00;381,80;368,47;380,60;380,60;8.324.800
21/3/2022;378,02;381,82;368,94;374,59;374,59;4.866.500
22/3/2022;371,14;386,66;366,76;382,92;382,92;4.242.800
23/3/2022;379,77;382,46;374,49;374,49;374,49;3.729.000
24/3/2022;379,76;379,76;368,90;375,71;375,71;3.888.500
25/3/2022;377,07;377,64;366,43;373,85;373,85;3.574.500
28/3/2022;375,23;380,28;366,73;378,51;378,51;4.323.400
29/3/2022;384,39;396,50;380,33;391,82;391,82;5.880.700
30/3/2022;389,55;392,70;378,63;381,47;381,47;4.023.300
31/3/2022;383,59;384,00;373,61;374,59;374,59;4.134.700
1/4/2022;376,80;380,87;368,50;373,47;373,47;4.644.200
4/4/2022;373,55;396,02;373,13;391,50;391,50;7.001.800
5/4/2022;389,30;390,00;377,31;380,15;380,15;4.234.500
6/4/2022;374,15;376,47;362,73;368,35;368,35;4.354.900
7/4/2022;365,00;368,54;353,69;362,15;362,15;4.948.900
8/4/2022;361,96;362,50;354,87;355,88;355,88;4.025.200
11/4/2022;350,00;354,78;345,20;348,00;348,00;3.777.100
12/4/2022;355,91;359,41;342,25;344,10;344,10;3.824.300
13/4/2022;343,92;352,00;341,16;350,43;350,43;3.231.000
14/4/2022;350,95;352,00;339,86;341,13;341,13;4.343.800
18/4/2022;340,00;342,36;331,62;337,86;337,86;5.105.000
19/4/2022;333,22;351,68;333,22;348,61;348,61;20.906.900
20/4/2022;245,20;248,70;212,51;226,19;226,19;133.387.500
21/4/2022;220,00;227,68;211,52;218,22;218,22;53.501.600
22/4/2022;220,18;226,27;210,05;215,52;215,52;37.515.100
